id,header,years_from,years_to,release_year,aggregate_rating,num_figures,manufacturer,period_duration,mid_year,era,decade,years_since_release,nationality
180,IMEX Union Infantry (505),1861,1865,1995.0,42.0,50.0,IMEX,4,1863,Новое время,1990.0,31.0,USA
181,IMEX Confederate Infantry (506),1861,1865,1995.0,42.0,49.0,IMEX,4,1863,Новое время,1990.0,31.0,Confederate
181,IMEX Confederate Infantry (506),1861,1865,1995.0,42.0,49.0,IMEX,4,1863,Новое время,1990.0,31.0,USA
182,IMEX Civil War Accessories (507),1861,1865,,,,IMEX,4,1863,Новое время,,,USA
183,IMEX Alamo Defenders (aka Texas Infantry) (509),1830,1850,1997.0,48.0,50.0,IMEX,20,1840,Новое время,1990.0,29.0,Texian
183,IMEX Alamo Defenders (aka Texas Infantry) (509),1830,1850,1997.0,48.0,50.0,IMEX,20,1840,Новое время,1990.0,29.0,USA
184,IMEX Mexican Infantry (510),1830,1840,2002.0,30.0,46.0,IMEX,10,1835,Новое время,2000.0,24.0,Mexican
185,IMEX George Washington's Army (511),1775,1783,2000.0,41.0,46.0,IMEX,8,1779,Новое время,2000.0,26.0,USA
186,IMEX British Redcoats (512),1768,1796,2000.0,49.0,49.0,IMEX,28,1782,Новое время,2000.0,26.0,British
187,IMEX Mexican Cavalry At The Alamo (515),1835,1836,2002.0,29.0,15.0,IMEX,1,1835,Новое время,2000.0,24.0,Mexican
188,IMEX Battlefield Accessories (519),1800,1900,,,,IMEX,100,1850,Новое время,,,Не указано
189,IMEX Mexican Artillery At The Alamo (520),1830,1840,2002.0,31.0,37.0,IMEX,10,1835,Новое время,2000.0,24.0,Mexican
190,Italeri Scots Greys (6001),1812,1815,1995.0,45.0,18.0,Italeri,3,1813,Новое время,1990.0,31.0,British
191,Italeri French Infantry (6002),1806,1813,1995.0,40.0,50.0,Italeri,7,1809,Новое время,1990.0,31.0,French
192,Italeri Carabiniers (6003),1810,1815,1996.0,46.0,17.0,Italeri,5,1812,Новое время,1990.0,30.0,French
193,Italeri Highlander Infantry (6004),1808,1815,1996.0,44.0,50.0,Italeri,7,1811,Новое время,1990.0,30.0,British
194,Italeri Russian Grenadiers (6006),1806,1807,1997.0,44.0,50.0,Italeri,1,1806,Новое время,1990.0,29.0,Russian
195,Italeri French Hussars (6008),1800,1815,1996.0,46.0,17.0,Italeri,15,1807,Новое время,1990.0,30.0,French
196,Italeri The Knights (6009),1140,1250,1998.0,46.0,34.0,Italeri,110,1195,Средневековье,1990.0,28.0,Frankish
197,Italeri Saracen Warriors (6010),1096,1150,1998.0,43.0,23.0,Italeri,54,1123,Средневековье,1990.0,28.0,Arab
197,Italeri Saracen Warriors (6010),1096,1150,1998.0,43.0,23.0,Italeri,54,1123,Средневековье,1990.0,28.0,Egyptian
197,Italeri Saracen Warriors (6010),1096,1150,1998.0,43.0,23.0,Italeri,54,1123,Средневековье,1990.0,28.0,Iraqi
197,Italeri Saracen Warriors (6010),1096,1150,1998.0,43.0,23.0,Italeri,54,1123,Средневековье,1990.0,28.0,Syrian
198,Italeri Confederate Cavalry (6011),1861,1865,1998.0,48.0,17.0,Italeri,4,1863,Новое время,1990.0,28.0,Confederate
198,Italeri Confederate Cavalry (6011),1861,1865,1998.0,48.0,17.0,Italeri,4,1863,Новое время,1990.0,28.0,USA
199,Italeri Confederate Infantry (6014),1861,1865,1998.0,47.0,51.0,Italeri,4,1863,Новое время,1990.0,28.0,Confederate
199,Italeri Confederate Infantry (6014),1861,1865,1998.0,47.0,51.0,Italeri,4,1863,Новое время,1990.0,28.0,USA
200,Italeri French Imperial General Staff (6016),1804,1815,1999.0,47.0,21.0,Italeri,11,1809,Новое время,1990.0,27.0,French
201,Italeri Napoleonic Wars Accessories (6017),1806,1815,2000.0,43.0,9.0,Italeri,9,1810,Новое время,2000.0,26.0,French
202,Italeri French Line/Guard Artillery (6018),1807,1813,2000.0,43.0,11.0,Italeri,6,1810,Новое время,2000.0,26.0,French
203,Italeri Teutonic Knights (6019),1189,1299,1999.0,45.0,17.0,Italeri,110,1244,Средневековье,1990.0,27.0,German
204,Italeri Mongols (6020),1200,1400,1999.0,42.0,17.0,Italeri,200,1300,Средневековье,1990.0,27.0,Mongolian
205,Italeri Roman Infantry (6021),-120,-30,2000.0,38.0,35.0,Italeri,90,-75,Древний мир,2000.0,26.0,Italian
206,Italeri Gaul Warriors (6022),-250,100,2000.0,40.0,40.0,Italeri,350,-75,Древний мир,2000.0,26.0,French
206,Italeri Gaul Warriors (6022),-250,100,2000.0,40.0,40.0,Italeri,350,-75,Древний мир,2000.0,26.0,Gaul
207,Italeri Russian Knights (6023),1201,1399,2000.0,,42.0,Italeri,198,1300,Средневековье,2000.0,26.0,Russian
208,Italeri Greek Infantry (6024),-500,-380,,,45.0,Italeri,120,-440,Древний мир,,,Greek
209,Italeri Roman Cavalry (6028),-200,20,2001.0,37.0,17.0,Italeri,220,-90,Древний мир,2000.0,25.0,Italian
210,Italeri Union Artillery Set (6032),1860,1870,2002.0,42.0,16.0,Italeri,10,1865,Новое время,2000.0,24.0,USA
211,Italeri German Infantry (6033),1936,1945,1982.0,,50.0,Italeri,9,1940,Новейшее время,1980.0,44.0,German
212,Italeri Macedonian Cavalry (6035),-350,-300,,,17.0,Italeri,50,-325,Древний мир,,,Greek
212,Italeri Macedonian Cavalry (6035),-350,-300,,,17.0,Italeri,50,-325,Древний мир,,,Macedonian
213,Italeri Union Artillery (6038),1860,1868,2002.0,42.0,13.0,Italeri,8,1864,Новое время,2000.0,24.0,USA
214,Italeri Dutch-Polish Lancers (6039),1809,1815,,,,Italeri,6,1812,Новое время,,,French
214,Italeri Dutch-Polish Lancers (6039),1809,1815,,,,Italeri,6,1812,Новое время,,,Polish
215,Italeri British Light Dragoons (6040),1812,1815,,,,Italeri,3,1813,Новое время,,,British
216,Italeri British Artillery (6041),1800,1815,1986.0,,16.0,Italeri,15,1807,Новое время,1980.0,40.0,British
217,Italeri Cossack Cavalry (6042),1809,1815,,,,Italeri,6,1812,Новое время,,,Russian
218,Italeri German Paratroopers (6045),1939,1945,1989.0,,50.0,Italeri,6,1942,Новейшее время,1980.0,37.0,German
219,Italeri American Infantry (6046),1941,1945,1982.0,,50.0,Italeri,4,1943,Новейшее время,1980.0,44.0,USA
220,Italeri Roman Infantry (6047),20,200,2002.0,,35.0,Italeri,180,110,Древний мир,2000.0,24.0,Italian
221,Italeri Barbarian Warriors (6048),-200,300,,,,Italeri,500,50,Древний мир,,,German
222,Lucky Toys Attila and Black Huns (TL0001),370,470,2003.0,38.0,12.0,Lucky Toys,100,420,Древний мир,2000.0,23.0,Hun
223,LW Wellington's Generals (0),1806,1815,,34.0,20.0,LW,9,1810,Новое время,,,British
224,LW Inquisition (2),1440,1500,2002.0,40.0,6.0,LW,60,1470,Средневековье,2000.0,24.0,Italian
224,LW Inquisition (2),1440,1500,2002.0,40.0,6.0,LW,60,1470,Средневековье,2000.0,24.0,Spanish
225,LW Vinea (22),-500,1500,2004.0,,5.0,LW,2000,500,Древний мир,2000.0,22.0,Не указано
226,LW Parthian Cataphracts 1 (24),-250,250,,17.0,7.0,LW,500,0,Древний мир,,,Persian
226,LW Parthian Cataphracts 1 (24),-250,250,,17.0,7.0,LW,500,0,Древний мир,,,Parthian
227,LW Parthian Cataphracts 2 (25),-250,250,,17.0,7.0,LW,500,0,Древний мир,,,Persian
227,LW Parthian Cataphracts 2 (25),-250,250,,17.0,7.0,LW,500,0,Древний мир,,,Parthian
228,LW Cavalry of Imperial Rome (29),-50,100,,10.0,4.0,LW,150,25,Древний мир,,,Italian
229,LW Pirates (31),1540,1740,,38.0,15.0,LW,200,1640,Новое время,,,Не указано
230,LW Celtic Warriors (33),-300,100,,9.0,4.0,LW,400,-100,Древний мир,,,Celtic
230,LW Celtic Warriors (33),-300,100,,9.0,4.0,LW,400,-100,Древний мир,,,French
231,LW Napoleonic War Engineers (36),1804,1815,,37.0,16.0,LW,11,1809,Новое время,,,French
232,LW Bactrian Cavalry (38),-490,-300,2002.0,27.0,5.0,LW,190,-395,Древний мир,2000.0,24.0,Afghan
232,LW Bactrian Cavalry (38),-490,-300,2002.0,27.0,5.0,LW,190,-395,Древний мир,2000.0,24.0,Tajik
232,LW Bactrian Cavalry (38),-490,-300,2002.0,27.0,5.0,LW,190,-395,Древний мир,2000.0,24.0,Uzbek
233,LW Medieval Mortar (39),1490,1570,,29.0,3.0,LW,80,1530,Средневековье,,,Не указано
234,LW Russian Artillery Crew (40),1939,1945,,,16.0,LW,6,1942,Новейшее время,,,Russian
235,LW Scythians (45),-650,-250,2002.0,27.0,5.0,LW,400,-450,Древний мир,2000.0,24.0,Polish
235,LW Scythians (45),-650,-250,2002.0,27.0,5.0,LW,400,-450,Древний мир,2000.0,24.0,Russian
235,LW Scythians (45),-650,-250,2002.0,27.0,5.0,LW,400,-450,Древний мир,2000.0,24.0,Scythian
235,LW Scythians (45),-650,-250,2002.0,27.0,5.0,LW,400,-450,Древний мир,2000.0,24.0,Ukrainian
236,LW Onager (50),270,500,2002.0,,5.0,LW,230,385,Древний мир,2000.0,24.0,Не указано
237,Matchbox British Infantry (P5001),1939,1945,1976.0,42.0,49.0,Matchbox,6,1942,Новейшее время,1970.0,50.0,British
238,Matchbox German Infantry (P5003),1936,1943,1976.0,44.0,49.0,Matchbox,7,1939,Новейшее время,1970.0,50.0,German
239,Matchbox British 8th Army (P5005),1939,1945,1977.0,46.0,44.0,Matchbox,6,1942,Новейшее время,1970.0,49.0,British
240,Matchbox Japanese Infantry (P5007),1938,1945,,49.0,45.0,Matchbox,7,1941,Новейшее время,,,Japanese
241,Matchbox ANZAC Infantry (P5008),1942,1945,1980.0,49.0,42.0,Matchbox,3,1943,Новейшее время,1980.0,46.0,Australian
241,Matchbox ANZAC Infantry (P5008),1942,1945,1980.0,49.0,42.0,Matchbox,3,1943,Новейшее время,1980.0,46.0,New Zealand
242,Matchbox NATO Paratroopers (P5009),1978,1994,1983.0,44.0,42.0,Matchbox,16,1986,Современность,1980.0,43.0,British
243,MiniArt Burgundian Knights and Archers (72001),1401,1499,2002.0,40.0,48.0,MiniArt,98,1450,Средневековье,2000.0,24.0,Burgundian
243,MiniArt Burgundian Knights and Archers (72001),1401,1499,2002.0,40.0,48.0,MiniArt,98,1450,Средневековье,2000.0,24.0,French
262,Nexus Egyptian Infantry (ATL01),-2024,-1500,,,62.0,Nexus,524,-1762,Древний мир,,,Egyptian
263,Nexus The Egyptian Cavalry (ATL02),-1430,-1100,,,,Nexus,330,-1265,Древний мир,,,Egyptian
264,Nexus US 7th Cavalry (ATL03),1860,1890,,,24.0,Nexus,30,1875,Новое время,,,Не указано
265,Nexus Greek Infantry (ATL05),-1300,-380,1977.0,,,Nexus,920,-840,Древний мир,1970.0,49.0,Не указано
266,Nexus Russian Revolution (ATL09),1910,1925,,,27.0,Nexus,15,1917,Новейшее время,,,Russian
267,Nexus Russian WW2 Infantry (ATL10),1941,1945,,,48.0,Nexus,4,1943,Новейшее время,,,Не указано
268,Nexus Kit Carson (ATL11),1840,1910,,,33.0,Nexus,70,1875,Новое время,,,USA
269,Nexus Ancient Life (ATL14),-600,-200,,,42.0,Nexus,400,-400,Древний мир,,,Greek
270,Nexus Cowboys (ATL16),1850,1890,,,16.0,Nexus,40,1870,Новое время,,,Не указано
271,Nexus Gold Rush (ATL18),1830,1890,,,36.0,Nexus,60,1860,Новое время,,,USA
277,Odemars Wellington's Generals (0),1800,1815,,,20.0,Odemars,15,1807,Новое время,,,Не указано
278,Odemars Samurai (PF01),1550,1650,,35.0,32.0,Odemars,100,1600,Средневековье,,,Japanese
279,Odemars Persians (PF02),-550,-300,,17.0,21.0,Odemars,250,-425,Древний мир,,,Persian
280,Odemars Leaders (PF03),-50,1970,,37.0,20.0,Odemars,2020,960,Средневековье,,,Не указано
281,Odemars German 7.5 cm PaK 40 Gun (104),1941,1945,,,,Odemars,4,1943,Новейшее время,,,German
282,Odemars Roman Republic Infantry (PF06),-200,-30,,28.0,36.0,Odemars,170,-115,Древний мир,,,Italian
283,Orion English Pirates (72001),1660,1730,2001.0,46.0,44.0,Orion,70,1695,Новое время,2000.0,25.0,British
284,Orion Chechen Rebels (72002),1994,2017,2001.0,45.0,48.0,Orion,23,2005,Современность,2000.0,25.0,Russian
285,Orion Modern Russian Federals (72003),1994,2000,2001.0,45.0,46.0,Orion,6,1997,Современность,2000.0,25.0,Russian
286,Orion Vikings (72004),800,1100,2002.0,46.0,46.0,Orion,300,950,Средневековье,2000.0,24.0,Danish
286,Orion Vikings (72004),800,1100,2002.0,46.0,46.0,Orion,300,950,Средневековье,2000.0,24.0,Norwegian
286,Orion Vikings (72004),800,1100,2002.0,46.0,46.0,Orion,300,950,Средневековье,2000.0,24.0,Swedish
286,Orion Vikings (72004),800,1100,2002.0,46.0,46.0,Orion,300,950,Средневековье,2000.0,24.0,Viking
287,Orion Gladiators (72005),-100,250,2002.0,41.0,38.0,Orion,350,75,Древний мир,2000.0,24.0,Italian
288,Orion Roman Sailors (72006),-500,500,2003.0,44.0,42.0,Orion,1000,0,Древний мир,2000.0,23.0,Italian
289,Revell German Paratroopers (02500),1939,1945,1989.0,38.0,44.0,Revell,6,1942,Новейшее время,1980.0,37.0,German
290,Revell German Infantry (02502),1941,1945,1990.0,47.0,48.0,Revell,4,1943,Новейшее время,1990.0,36.0,German
291,Revell Japanese Infantry (02507),1938,1945,1993.0,47.0,50.0,Revell,7,1941,Новейшее время,1990.0,33.0,Japanese
292,Revell Soviet Infantry (02510),1940,1945,1994.0,44.0,48.0,Revell,5,1942,Новейшее время,1990.0,32.0,Russian
293,Revell German Armoured Infantry (02511),1939,1944,1994.0,43.0,50.0,Revell,5,1941,Новейшее время,1990.0,32.0,German
294,"Revell Scottish Infantry, 8th Army (02512)",1940,1943,1994.0,46.0,50.0,Revell,3,1941,Новейшее время,1990.0,32.0,British
295,Revell Siberian Riflemen (02516),1941,1945,1995.0,48.0,41.0,Revell,4,1943,Новейшее время,1990.0,31.0,Russian
296,Revell British Infantry (02519),1995,1998,1998.0,42.0,48.0,Revell,3,1996,Современность,1990.0,28.0,British
297,Revell British Infantry (02523),1944,1945,2002.0,47.0,48.0,Revell,1,1944,Новейшее время,2000.0,24.0,British
298,Revell German Commando Special Forces (KSK) (02524),1996,2003,2002.0,45.0,46.0,Revell,7,1999,Современность,2000.0,24.0,German
299,Revell Normans (02550),950,1150,1989.0,47.0,42.0,Revell,200,1050,Средневековье,1980.0,37.0,French
299,Revell Normans (02550),950,1150,1989.0,47.0,42.0,Revell,200,1050,Средневековье,1980.0,37.0,Norman
300,Revell Anglo-Saxons (02551),1000,1066,1989.0,45.0,42.0,Revell,66,1033,Средневековье,1980.0,37.0,Anglo-Saxon
300,Revell Anglo-Saxons (02551),1000,1066,1989.0,45.0,42.0,Revell,66,1033,Средневековье,1980.0,37.0,British
301,Revell Celts (Gauls) (02553),-300,100,1989.0,45.0,50.0,Revell,400,-100,Древний мир,1980.0,37.0,British
301,Revell Celts (Gauls) (02553),-300,100,1989.0,45.0,50.0,Revell,400,-100,Древний мир,1980.0,37.0,Celtic
301,Revell Celts (Gauls) (02553),-300,100,1989.0,45.0,50.0,Revell,400,-100,Древний мир,1980.0,37.0,French
301,Revell Celts (Gauls) (02553),-300,100,1989.0,45.0,50.0,Revell,400,-100,Древний мир,1980.0,37.0,Italian
302,Revell Cowboys (02554),1850,1890,1990.0,42.0,50.0,Revell,40,1870,Новое время,1990.0,36.0,USA
303,Revell Imperial Infantry (02556),1600,1650,1990.0,49.0,47.0,Revell,50,1625,Новое время,1990.0,36.0,Austrian
303,Revell Imperial Infantry (02556),1600,1650,1990.0,49.0,47.0,Revell,50,1625,Новое время,1990.0,36.0,German
304,Revell Swedish Infantry (02557),1610,1648,1990.0,49.0,47.0,Revell,38,1629,Новое время,1990.0,36.0,Swedish
305,Revell Union Infantry (02559),1861,1865,1991.0,,50.0,Revell,4,1863,Новое время,1990.0,35.0,USA
306,Revell British Infantry (02560),1768,1796,,,50.0,Revell,28,1782,Новое время,,,British
307,Revell American Militia (02561),1770,1785,,,50.0,Revell,15,1777,Новое время,,,USA
308,Revell Confederate Pioneers (02564),1861,1865,,,31.0,Revell,4,1863,Новое время,,,Confederate
308,Revell Confederate Pioneers (02564),1861,1865,,,31.0,Revell,4,1863,Новое время,,,USA
309,Revell Union Artillery (02565),1861,1865,,,18.0,Revell,4,1863,Новое время,,,USA
310,Revell Imperial Artillery (02566),1600,1660,1991.0,46.0,28.0,Revell,60,1630,Новое время,1990.0,35.0,Austrian
310,Revell Imperial Artillery (02566),1600,1660,1991.0,46.0,28.0,Revell,60,1630,Новое время,1990.0,35.0,German
311,Revell Swedish Cavalry (02567),1625,1650,1991.0,49.0,15.0,Revell,25,1637,Новое время,1990.0,35.0,Swedish
312,Revell French Grenadier Guards (02570),1804,1815,1992.0,48.0,48.0,Revell,11,1809,Новое время,1990.0,34.0,French
313,Revell British Infantry (02571),1812,1816,1992.0,44.0,48.0,Revell,4,1814,Новое время,1990.0,34.0,British
314,Revell Prussian Infantry (02572),1740,1780,1992.0,32.0,48.0,Revell,40,1760,Новое время,1990.0,34.0,German
315,Revell Prussian Hussars (02575),1756,1763,1993.0,49.0,17.0,Revell,7,1759,Новое время,1990.0,33.0,German
316,Revell French Mounted Guard Chasseurs (02576),1804,1815,1993.0,49.0,18.0,Revell,11,1809,Новое время,1990.0,33.0,French
317,Revell British Life Guards (02578),1814,1815,1994.0,46.0,17.0,Revell,1,1814,Новое время,1990.0,32.0,British
318,Revell British Rifles (02581),1802,1815,1996.0,47.0,42.0,Revell,13,1808,Новое время,1990.0,30.0,British
319,Strelets The French Army's Camp (001),1800,1815,2001.0,34.0,31.0,Strelets,15,1807,Новое время,2000.0,25.0,French
320,Strelets Polish Infantry & French Engineers (003),1807,1815,2002.0,40.0,48.0,Strelets,8,1811,Новое время,2000.0,24.0,French
320,Strelets Polish Infantry & French Engineers (003),1807,1815,2002.0,40.0,48.0,Strelets,8,1811,Новое время,2000.0,24.0,Polish
321,Strelets Vikings Against Franks (004),700,950,2002.0,37.0,45.0,Strelets,250,825,Средневековье,2000.0,24.0,Danish
321,Strelets Vikings Against Franks (004),700,950,2002.0,37.0,45.0,Strelets,250,825,Средневековье,2000.0,24.0,Frankish
321,Strelets Vikings Against Franks (004),700,950,2002.0,37.0,45.0,Strelets,250,825,Средневековье,2000.0,24.0,French
321,Strelets Vikings Against Franks (004),700,950,2002.0,37.0,45.0,Strelets,250,825,Средневековье,2000.0,24.0,German
321,Strelets Vikings Against Franks (004),700,950,2002.0,37.0,45.0,Strelets,250,825,Средневековье,2000.0,24.0,Norwegian
321,Strelets Vikings Against Franks (004),700,950,2002.0,37.0,45.0,Strelets,250,825,Средневековье,2000.0,24.0,Swedish
321,Strelets Vikings Against Franks (004),700,950,2002.0,37.0,45.0,Strelets,250,825,Средневековье,2000.0,24.0,Viking
322,Strelets Army of Joan d'Arc (005),1420,1435,2003.0,38.0,36.0,Strelets,15,1427,Средневековье,2000.0,23.0,French
323,Strelets Carolingian Cavalry (008),750,900,2003.0,35.0,12.0,Strelets,150,825,Средневековье,2000.0,23.0,French
323,Strelets Carolingian Cavalry (008),750,900,2003.0,35.0,12.0,Strelets,150,825,Средневековье,2000.0,23.0,German
324,Waterloo 1815 Italian Infantry (at El Alamein) (006),1940,1943,2002.0,42.0,36.0,Waterloo 1815,3,1941,Новейшее время,2000.0,24.0,Italian
325,Waterloo 1815 Polish Infantry 1812/14 (008),1807,1814,2002.0,44.0,36.0,Waterloo 1815,7,1810,Новое время,2000.0,24.0,Polish
326,Waterloo 1815 Dutch Belgian Artillery 1815 (009),1815,1815,2002.0,37.0,20.0,Waterloo 1815,0,1815,Новое время,2000.0,24.0,Belgian
326,Waterloo 1815 Dutch Belgian Artillery 1815 (009),1815,1815,2002.0,37.0,20.0,Waterloo 1815,0,1815,Новое время,2000.0,24.0,Dutch
