ID,Header,Years_from,Years_to
2236,Ultima Ratio Carthaginian Army: Iberian Infantry Part 1 (UR016),-250,-140
2237,RedBox Byzantine Cataphracts Set 2 (72154),600,1400
2240,First To Fight Bofors 37 mm wz. 36 Polish AT Gun (PL1939-025),1939,1939
2242,Caesar Chinese Qing Dynasty Troopers (H033),1636,1912
2243,Caesar Chinese Ming Dynasty Troopers (H032),1368,1644
2244,Caesar Pharaoh's Chariot with Biblical Peasant (H042),-1430,-1000
2245,Caesar Astronauts and Spacecraft (HB21),2003,2012
2246,"Valdemar Travelling People, Juggler and Acrobats (VA149)",1000,1500
2247,Valdemar Bath (VA143),500,1500
2248,Valdemar Herald with Retinue (VA150),1000,1150
2249,Orion Soviet Tankmen and Crew (Winter Dress) (72042),1943,1945
2250,Ykreol Berlin 1945 (YK17),1945,1945
2251,Ykreol Roman Siege Troops (YK18),0,0
2252,Italeri US Infantry 90s (6168),1990,1995
2253,Italeri Soviet Special Forces 80s (6169),1980,1985
2254,Orion Byzantine Infantry (7th - 9th Century) (72043),600,899
2255,Orion Byzantine Infantry (10th - 13th Century) (72044),900,1299
2256,"Metch Arnhem, Landings (172146)",1944,1944
2257,Metch Arnhem Street Fighting (172147),1944,1944
2258,"Metch Arnhem, Dutch Resistance (172149)",1944,1944
2259,Mars French Field Artillery (72044),1601,1650
2260,Mars Teutonic Foot Knights (72057),1400,1450
2261,Zvezda Soviet 76mm Infantry Gun (6145),1941,1945
2263,Orion German WWII Panzer Soldiers (Basic Set 1) (72045),1939,1945
2264,RedBox Continental Mercenaries (72042),1460,1485
2265,Plastic Soldier Russian ZiS 2/3 Gun (WW2G20002),1941,1945
2266,Ykreol Roman Republic Infantry (YK19),-200,-30
2267,RedBox Scottish Troops (72043),1460,1485
2268,RedBox Irish Troops (72044),1460,1487
2269,Strelets Caesar Army in Defence (M090),-100,-30
2270,HaT Napoleonic Spanish Line Infantry (8302),1807,1809
2271,HaT British Infantry Command (8304),1796,1815
2272,HaT Napoleonic Spanish Command (8303),1805,1809
2273,HaT Zulu British Infantry Command (8299),1879,1880
2274,Strelets Imperial Roman Legion 1 (907),50,150
2280,Valiant German le FH 18 Howitzer and Crew (VM007),1939,1945
2281,Valiant German Artillery Crew (VM008),1939,1945
2282,Caesar Sportsmen Set II (HB20-2),2010,2010
2283,Caesar Sportsmen Set III (HB20-3),2010,2010
2284,Zvezda German Motorcycle R-12 (6142),1939,1945
2285,Zvezda German 20mm Anti-Aircraft Gun with Crew (6117),1939,1945
2286,Armourfast leFH18 105mm Howitzer (89001),1939,1945
2287,Zvezda German 105mm Howitzer with Crew (6121),1939,1945
2288,Waterloo 1815 Mussolini (060),1927,1943
2289,RedBox Turkish Sailors 16-17th Century (72078),1501,1699
2290,RedBox Turkish Sailors in Battle 16-17th Century (72079),1501,1699
2291,RedBox Turkish Sailors Artillery 16-17th Century (72080),1501,1699
2292,RedBox English Sailors 16-17th Century (72081),1501,1699
2293,Valdemar Medieval Builders Set 2 (VA161),1300,1400
2294,Zvezda German 75mm Infantry Gun (6156),1939,1945
2295,Zvezda British Anti-tank Gun Ordnance QF 2 pdr (6169),1939,1942
2296,Caesar German Soldiers with Tank Riders (H077),1939,1945
2297,Caesar Counter-Terrorist Elite Forces (H082),2000,2010
2298,Caesar Dismounted Crusaders (H086),1096,1200
2299,Caesar Medieval European Knights 13th Century (H087),1201,1299
2300,Caesar European Medieval Foot Soldiers and Archers (H088),1400,1499
2301,Caesar German Infantry (CM7711),1939,1945
2302,Caesar German Paratroopers (CM7712),1939,1945
2303,Caesar German Afrikakorps (CM7713),1940,1943
2304,Caesar German Panzergrenadier (Normandy 1944) (CM7716),1944,1944
2305,Caesar German Panzergrenadiers (Camouflage Capes) (CM7717),1940,1945
2306,Mars Polish Infantry (72047),1645,1660
2307,Mars Lithuanian Medium Cavalry (72058),1400,1450
2308,Mars Russian Medium Cavalry (72059),1401,1450
2309,Mars Lithuanian-Russian Light Infantry (72060),1400,1450
2310,Linear-B Spartacus Uprising Defeat (006),-73,-71
2311,Linear-B Roman Construction (004),-150,450
2312,Linear-B Roman Valetudinarium (005),-200,500
2313,Eduard Czech Air Force (7501),2008,2008
2314,Eduard Royal Flying Corps 1917 (7503),1915,1917
2315,Revell British Paratroopers (Falklands War) (02596),1982,1982
2316,HaT Napoleonic British Heavy Dragoons (8308),1808,1813
2318,Strelets Norman Army Camp (909),900,1150
2319,Strelets Catapult with Roman Crew (A009),300,450
2320,Strelets Ancient Christians (130),30,400
2321,Strelets Turkish Infantry in Summer Uniform (M092),1861,1879
2322,Mars Spanish Infantry (Later) (72076),1660,1685
2323,Strelets British Line Infantry in Overcoats - 1 (M094),1812,1815
2324,Strelets Shaab with Crusader Crew (A010),1100,1270
2325,RedBox British Infantry (72049),1745,1746
2326,RedBox Highland Infantry (72050),1745,1746
2327,RedBox Militia and Loyalist Troops (72051),1745,1746
2328,RedBox Landsknechts Heavy Pikemen (72068),1480,1550
2329,Mars French Mounted Guards Royal Musketeers (72045),1622,1646
2330,Mars French Mounted Guards of Cardinal Richelieu (72046),1640,1640
2331,Mars Lithuanian Tatars Light Cavalry (72055),1400,1450
2332,Mars Lithuanian Light Cavalry (72056),1400,1400
2333,Mars Algerian Pirates (72072),1550,1550
2334,Zvezda German Headquarters (6133),1939,1942
2335,Zvezda Soviet Sniper Team (6193),1941,1945
2336,Strelets Roman Imperial Legion Ranks (M100),-30,150
2337,Zvezda Soviet Infantry in Winter Uniform (6197),1939,1945
2338,Zvezda German Infantry in Winter Uniform (6198),1936,1945
2339,Zvezda Soviet Ski Troops (6199),1941,1945
2340,Zvezda British Engineers (6219),1939,1942
2341,Zvezda Soviet Machine Gun 'Maxim' with Crew (Winter) (6220),1941,1945
2342,Zvezda British Recon Team (6226),1939,1945
2343,Zvezda British Medical Personnel (6228),1939,1942
2344,Strelets WWII Early American Soldiers (M105),1939,1942
2345,Strelets Russian Jaegers in Summer Dress (288),1809,1814
2346,RedBox European Mercenaries Light Horse (72054),1455,1483
2347,Zvezda Soviet Motorized Infantry (7404),1985,1985
2348,Zvezda U.S. Mechanized Infantry (7407),1985,1991
2349,"Zvezda Soviet Machine Gun NSV 12,7 'Utes' (7411)",1985,1995
2350,Zvezda Soviet SAM SA-18 'Grouse' (7412),1985,1990
2351,Zvezda Soviet Anti-Tank Missile System AT-7 'Saxhorn' (7413),1985,1992
2352,Zvezda US Machine Gun M2 'Browning' (7414),1985,1995
2353,Zvezda American M-47 Dragon Anti-Tank Missile System (7415),1985,1995
2354,Zvezda US SAM FIM-92 'Stinger' (7416),1985,1995
2355,Zvezda Soviet 82mm Mortar with Crew (Winter) (6208),1941,1945
2356,Zvezda German 80mm Mortar with Winter Crew (6209),1939,1945
2357,Zvezda German Machine Gun with Crew (Winter) (6210),1939,1945
2358,Strelets Roman Senate 1 (137),-100,-30
2359,Plastic Soldier German PaK 38 Anti Tank Gun (WW2G20003),1939,1945
2360,RedBox WW2 Japanese Kamikaze (72048),1944,1945
2361,RedBox WW2 Japanese Army Aviation Pilots and Ground Crew (72052),1937,1945
2362,Mars Polish Field Artillery (72077),1600,1699
2363,Revell Afrika Korps (02616),1941,1943
2364,Mars Barbarian Pirates (72071),1490,1650
2365,RedBox WW2 IJN Pilots and Ground Crew (72053),1937,1945
2366,Italeri Japanese Infantry (6170),1937,1945
2367,GerMan Battle of Gibraltar 1704 (1030),1704,1704
2368,GerMan Catalan Bay Gibraltar Assault (1031),1704,1704
2369,Metch Destroyer Tank Ho-Chi (172135),1941,1941
2370,Metch US Marines on Pacific - Peleilu Mud Trenches (172190),1942,1942
2371,Metch US Navy Fu-Corsair (172191),1942,1942
2372,Zvezda Soviet 122mm Howitzer (6122),1941,1945
2373,Zvezda German Heavy Anti-Aircraft Gun (6158),1939,1945
2374,Zvezda British Bofors 40-mm MkI/II AA-Gun (6170),1939,1945
2375,Mars Polish Pahioki (72074),1618,1648
2381,Mars Eastern Mercenaries in Winter Dress (72075),1618,1648
2383,Strelets German Army in Stalingrad (M093),1942,1943
2384,Mars Late Mycenaean Heavy Infantry (72085),-1300,-1100
2385,Mars Polish Field Artillery (72063),1400,1450
2388,Valiant British 6 pounder Anti-Tank Gun and Crew (VM009),1939,1945
2391,Strelets Polish Peoples Army (M095),1943,1945
2392,Strelets Finnish Army 1944 (M096),1944,1944
2393,Strelets British Line Infantry in Overcoats 2 (M097),1812,1816
2394,Strelets American Militia in Winter Dress 1812 (M098),1812,1815
2397,Waterloo 1815 Cromwell's Cavalry (033),1642,1650
2398,Mars Imperial Mercenary Infantry in Summer Dress (72048),1618,1648
2399,Mars Imperial Mercenary Infantry in Winter Dress (72049),1618,1648
2400,Mars Lithuanian-Russian Medium Infantry (72061),1401,1450
2401,Mars Polish Infantry (Early) (72073),1618,1630
2402,Waterloo 1815 Highland Infantry 1815 in Square (039),1815,1815
2403,RedBox Stradioti Set 1 (72074),1495,1580
2404,RedBox Jinetes Set 2 (72077),1501,1599
2408,First To Fight Polish Infantry (PL1939-019),1935,1939
2409,Linear-B Age of Tudors (012),1490,1550
2410,Zvezda Russian Dragoons Command (6817),1810,1815
2411,Zvezda French Dragoons Command (6818),1812,1815
2412,Plastic Soldier US Infantry Heavy Weapons (WW2020007),1943,1945
2413,Revell British 8th Army (02617),1940,1943
2414,Revell German Pak 40 & Soldiers (02531),1939,1945
2415,RedBox Turkish Artillery (72066),1500,1599
2416,RedBox Landsknechts Heavy Infantry (72063),1480,1560
2417,RedBox Turkish Artillery (72067),1600,1699
2418,RedBox Landsknechts Artillery (72064),1480,1600
2419,Ykreol Samurai Warriors (YK22),1400,1650
2420,Linear-B Roman Slave Market (076),-100,300
2421,Linear-B Roman Peasantry (077),-100,300
2422,Mars Polish 'Lisovchiki' (72079),1607,1624
2423,Mars Lithuanian Tartars (72080),1601,1650
2424,Mars Early Mycenaean Infantry (72086),-1500,-1400
2425,Mars Late Mycenaean Light Infantry (72087),-1250,-1200
2426,Valiant German Paratroop Heavy Weapons (VM010),1939,1945
2427,Strelets Russian Army Sledge Train 1 (135),1812,1813
2428,Strelets Russian Army Sledge Train 2 (136),1812,1813
2429,Strelets WWI 9.2-inch British Siege Howitzer MK I (A012),1916,1918
2430,Strelets WWI 21 cm MRS 10 German Heavy Howitzer (A013),1914,1916
2431,Orion Soviet Tankmen and Crew (72046),1939,1942
2432,Strelets Bavarian Cuirassiers (258),1684,1710
2433,Waterloo 1815 WWII Italian Infantry (Campaign Dress) (040),1940,1943
2434,Waterloo 1815 Royal Italian Air Force Pilots and Crew (055),1940,1943
2435,Waterloo 1815 British Heavy Dragoons (053),1812,1815
2436,Waterloo 1815 French Line Lancers (054),1811,1815
2437,Ultima Ratio Mujahidins Taliban al-Qaeda (UR001),1978,2014
2442,Mars Wallachian Infantry (72081),1618,1648
2443,Mars Sea Peoples (72088),-1230,-1150
2444,Mars Achaeans (72089),-1299,-1100
2445,RedBox Landsknechts (Sword/Arquebus) (72057),1490,1550
2446,RedBox Landsknechts (Pikemen) (72058),1490,1550
2447,RedBox Landsknechts (Halberdiers) (72059),1490,1550
2448,RedBox Swiss Infantry (Sword/Arquebus) (72060),1490,1600
2449,RedBox Swiss Pikemen (72061),1470,1550
2450,RedBox Swiss Halberdiers (72062),1490,1540
2451,RedBox European Mounted Men-at-Arms (72047),1455,1485
2452,HaT WWI Italian Arditi (8221),1917,1920
2453,HaT WWI Italian Heavy Weapons (8222),1915,1918
2454,HaT WWI Italian Infantry (8223),1916,1918
2455,HaT Prussian Landwehr Action (8310),1813,1815
2456,Strelets Austrian Grenadiers Winter Standing Shoulder Arms (206),1805,1815
2458,Linear-A Roman Army of Maximinus Thrax (1): Infantry (069),235,238
2459,Linear-A Legions of Gnaeus Pompeius Magnus (Set 1) (065),-90,-40
2460,Linear-A Roman Legion of Antonius in Egyptian Service (066),-40,-31
2461,Strelets French Guards Chasseurs (277),1804,1809
2462,Caesar German Infantry Tank Riders Winter Set 2 (H079),1939,1945
2463,Strelets Austrian Uhlans (275),1801,1815
2464,First To Fight German Infantry 1939 (PL1939-016),1939,1940
2465,Linear-B Mithridatic Heavy Infantry (078),-110,-63
2466,Plastic Soldier German Stowage and Tank Commanders (WW2V20021),1939,1945
2467,Mars Buccaneers (72082),1620,1660
2468,Preiser German Zundapp Motorcycles with Riders (72538),1939,1945
2469,Preiser Zundapp Motorcycles with Crews Pushing (72539),1939,1945
2470,Linear-A The Silk Road in Ancient Times (008),-200,700
2471,Strelets Stamford Bridge (911),1050,1080
2472,Strelets Hastings 1066: Norman Army (910),1030,1090
2473,Strelets Hastings 1066: Anglo-Saxon Army (912),1050,1070
2474,Strelets Bashi-Bazouks (M054),1800,1880
2475,Strelets 8th Army Australian Heavy Weapons Squad (M156),1939,1943
2476,Strelets English Longbowmen (M117),1250,1480
2477,Strelets English Men-At-Arms 13th-14th Century (M118),1201,1399
2478,Mars Turkish Eyalet Infantry (72097),1601,1699
2479,RedBox Osman Sipahi Set 1 (72094),1501,1620
2480,Mars Swedish Dragoons (Set 2) (72095),1630,1635
2481,Mars Imperial Dragoons (72096),1610,1650
2482,RedBox Osman Sipahi Set 2 (72095),1501,1620
2483,Panzer vs Tanks Israeli IDF Advance Set (Mitznefet) (022),2001,2016
2484,Panzer vs Tanks Roman Legion Testudo (001),30,150
2485,RedBox Ukrainian Cossack Cavalry Set 1 (72125),1501,1599
2486,Panzer vs Tanks German Ground Crew Set 1 (003),1914,1918
2487,RedBox Ukrainian Cossack Cavalry Set 2 (72126),1501,1599
2488,Panzer vs Tanks US Navy Sailors Combat Set 2 (005),1942,1945
2489,Orion Local Communist Force (72056),1946,1975
2490,Linear-A Hannibal Crosses the Alps Set 3 (Elephants) (016),-220,-200
2491,Orion Turkish Cavalry (Deli) (72055),1501,1699
2492,RedBox Russian Line Infantry (72131),1805,1808
2493,RedBox Russian Grenadiers (72130),1804,1808
2494,RedBox Russian Light Infantry (72132),1803,1807
2495,Panzer vs Tanks German U-Boat Crew Set 1 (012),1935,1945
2496,Panzer vs Tanks German U-Boat Crew Set 2 (013),1939,1945
2497,Orion German Anti-Resistance Troops (72054),1939,1945
2498,Linear-A Napoleonic French Engineers (024),1800,1815
2499,Linear-A Hannibal Makes a Triumphal Entry in Italy (023),-230,-200
2500,Linear-A Roman Legion Set 2 (018),-10,30
2501,Linear-A Battle of Cunaxa Set 2 (019),-401,-399
2502,Strelets Highlanders Standing Shoulder Arms (199),1800,1816
2503,Linear-A The Minoans (020),-1600,-1450
2504,HaT WWI Italian Sampler (8331),1915,1918
2505,Strelets Spanish Pro-Bourbon Infantry (263),1704,1715
2506,Mars German Panzerjägers (72128),1942,1945
2507,Mars British Commonwealth Troops (72127),1943,1945
2508,Strelets WWI French Infantry in Summer Dress (M134),1915,1918
2509,Panzer vs Tanks Israel IDF Patrol Set 5 (027),2012,2016
2511,Valiant German Infantry 42-44 (FT001),1942,1944
2514,Linear-A Roman Legion Set 1 (017),-40,40
2515,Linear-A German Warriors Set 1 (009),1,40
2516,RedBox Scottish Heavy Cavalry (72056),1460,1485
2517,RedBox Spanish Infantry (Set 1) (72096),1550,1599
2518,RedBox Italian Infantry (Set 1) (72099),1501,1599
2519,RedBox Scottish Light Cavalry (72108),1450,1490
2520,Caesar Chinese Han Dynasty Troopers (H043),-206,220
2521,Strelets Indian Troops (M119),1939,1945
2525,Strelets Rif Rebellion (191),1920,1928
2526,Strelets Mounted Rif Rebels (190),1921,1928
2527,Strelets Pom-Pom Gun with Scottish Crew (189),1900,1902
2528,Strelets Prussian Hussars (155),1807,1815
2529,Valiant German 81mm Mortar and Tripod MG42 (FT002),1939,1945
2530,Linear-A Hannibal Crosses the Alps Set 2 (013),-250,-150
2531,Strelets French Foreign Legion Desert Patrol (192),1897,1912
2532,First To Fight 37mm Anti-Tank Gun with Uhlan Crew (PL1939-069),1939,1939
2533,Strelets Highlanders on the March (140),1813,1815
2534,Strelets Polish Infantry on the March (142),1807,1815
2535,Strelets Pom-Pom Gun with Boer Crew (188),1899,1902
2536,Strelets Bavarian Infantry Firing Line (273),1807,1812
2537,Orion WWII USA Tank Crew Winter Dress (72050),1942,1945
2538,Strelets French Foreign Legion WWII (187),1941,1943
2539,Strelets French Foreign Legion Early XX C. (186),1900,1913
2540,Strelets Foot Rif Rebels (185),1920,1932
2541,Mars German Naval Troops (72112),1939,1945
2542,Waterloo 1815 WWI Italian Cavalry (042),1916,1918
2543,Strelets Highlanders in Attack (146),1805,1816
2544,Strelets IJA Paratroopers (M120),1941,1945
2545,Mars Osman Siege Artillery (Mortar) (72098),1601,1699
2546,Mars Sobieski's Polish Infantry (72099),1674,1696
2547,Strelets Japanese Type 96 with Crew (139),1943,1945
2548,Billy V American Western Settlers + Conestoga Wagon (682),1860,1890
2549,Strelets Confederate Troops on the March (147),1861,1865
2550,Strelets US Infantry on the March (149),1861,1865
2551,Strelets US Troops in Attack (150),1861,1865
2552,Strelets US Cavalry Skirmishing (151),1863,1865
2553,Strelets Imperial Japanese Army Heavy Weapons Team (M121),1938,1945
2554,Strelets Turkish Infantry in Tropical Uniform (M122),1914,1919
2555,Strelets Imperial Camel Corps Dismounted (M123),1916,1919
2556,Revell Austrian Dragoons & Prussian Hussars (02453),1756,1763
2557,Revell Austrian & Prussian Infantry (02452),1756,1763
2558,Waterloo 1815 Napoleonic French Foot Dragoons (041),1804,1810
2559,Strelets US Infantry in Attack 2 (153),1861,1865
2560,HaT Austrians Marching (8322),1740,1767
2561,HaT Austrians Action (8323),1740,1767
2562,HaT Austrians Command (8324),1740,1767
2563,Linear-A Legions of Marcus Licinius Crassus (Set 1) (067),-60,-40
2564,Ultima Ratio Gladiators Retiarius Provokator (UR020),-100,300
2565,Linear-A Imperial Roman Standards & Standard Bearers (2) (070),50,150
2566,RedBox Spanish Infantry (Set 2) (72097),1540,1580
2567,RedBox Spanish Infantry (Set 3 - Pike) (72098),1540,1590
2568,RedBox Italian Infantry (Set 2) (72100),1501,1599
2569,RedBox Italian Infantry (Set 3 - Pike) (72101),1501,1599
2570,RedBox Burgundian Infantry and Knights (Set 1) (72109),1401,1499
2571,RedBox Burgundian Infantry and Knights (Set 2) (72110),1401,1477
2572,Ultima Ratio Imperial Japanese Army Paratroopers (UR005),1941,1945
2573,Ultima Ratio Chindits (UR006),1943,1944
2574,Ultima Ratio Swiss Infantry (Uri) (UR007),1401,1499
2575,Ultima Ratio Swiss Infantry (Bern) (UR008),1401,1499
2576,Mars Burgundian Field Artillery (72067),1450,1477
2577,Mars Swedish Leather Guns (72100),1625,1635
2578,Mars Turkish Heavy Artillery (72101),1601,1699
2579,Strelets Imperial Japanese Army in Attack (M128),1937,1945
2580,Strelets WWII Indian Infantry Heavy Weapons (M129),1939,1945
2581,Strelets Arab Revolt Foot Rebels (M127),1916,1918
2582,Zvezda Soviet Headquarters in Winter Uniform (6231),1940,1945
2583,Strelets Serbian Infantry in Winter Uniform (M126),1916,1918
2584,Strelets Pickett's Charge 2 (152),1861,1865
2585,Strelets British Infantry Standing at Ease (162),1812,1815
2586,RedBox Spanish Sailors Set 1 (72102),1501,1650
2587,RedBox Spanish Sailors In Battle Set 2 (72103),1501,1630
2588,RedBox Spanish Sailors Artillery Set 3 (72104),1501,1699
2589,RedBox Italian Sailors Set 1 (72105),1501,1699
2590,RedBox Italian Sailors Set 2 (72106),1501,1699
2591,RedBox Italian Sailors in Battle Set 3 (72107),1501,1699
2592,Linear-A Hannibal Crosses the Alps Set 1 (011),-200,-200
2593,Caesar WWII German Winter Unit with Pak 36 / Servants (H097),1939,1945
2594,Caesar WWII German Fallschirmjager Heavy Weapons (H098),1940,1945
2595,Caesar WWII German Panzer Crews (Set 2 Winter/Greatcoat) (HB05),1942,1945
2596,Strelets US Infantry Standing (157),1861,1865
2597,Strelets WWI Polish Infantry (Blue Army) (M130),1917,1922
2598,Strelets Creusot Long Tom 155mm Gun with Boer Crew (A014),1898,1902
2599,Strelets 105mm Cannon Schneider 1913 (A015),1915,1918
2600,Strelets Highlanders Standing at Ease (163),1813,1815
2601,Mars Austrian Infantry (Late 17th Century) (72102),1660,1690
2602,Mars Turkish Infantry (Tufekei) (72104),1580,1699
2603,Zvezda German Headquarters in Winter Uniform (6232),1935,1945
2604,Strelets Red Cavalry in Summer Dress (164),1918,1924
2605,Strelets British Camel Corps (165),1916,1919
2606,Mars Turkish Field Artillery (72103),1501,1699
2607,Mars Turkish Headquarters (72105),1601,1699
2608,Strelets Australian Dismounted Camel Corps (M131),1916,1918
2609,Strelets Australian Camel Corps (166),1916,1918
2610,Strelets Turkish Camel Corps (167),1914,1918
2611,Strelets Arab Uprising (172),1916,1918
2612,HaT Napoleonic Naval Cannon and Crew (8311),1800,1815
2613,HaT British Marines and Fighting Sailors (8325),1800,1815
2614,Strelets 8th Army Heavy Weapons Squad (M132),1941,1945
2615,Hasegawa Japanese Navy Airmen Set (35116),1937,1945
2616,Ultima Ratio Guards of Cardinal Richelieu (UR012),1626,1650
2617,Ultima Ratio Musketeers of the King of France (UR011),1622,1650
2618,Ultima Ratio Italian Militiamen 1260-1392 (UR010),1260,1392
2619,Ultima Ratio Medieval Gunpowder Castle Artillery (UR009),1350,1480
2620,Strelets French Line Infantry on the March 1 (173),1806,1815
2621,Strelets Confederate Skirmishing (158),1861,1865
2622,Strelets sPzB41 AT Gun with DAK Crew (M158),1941,1943
2623,Strelets Landwehr on the March (168),1813,1815
2624,Strelets Landwehr Standing at Ease (169),1813,1815
2625,Strelets Old Guard Standing at Ease (170),1804,1815
2626,Strelets Old Guard at Attention (171),1804,1815
2627,Zvezda German Anti-Tank Rifle Team (6216),1939,1943
2628,Zvezda German Sniper Team (6217),1941,1945
2629,Waterloo 1815 WWI Italian Infantry Set 2 (043),1916,1918
2630,Waterloo 1815 WWI Italian Elite Troops (Arditi) (044),1915,1918
2631,HaT Unmarried Zulu Warriors (8316),1816,1880
2632,Italeri British Infantry/Sepoys (6187),1875,1898
2633,Italeri British 11th Hussars (6188),1854,1855
2634,Italeri WWII Free French Infantry (6189),1940,1945
2635,Italeri Warsaw Pact Troops (1980s) (6190),1980,1989
2636,Italeri NATO Troops (1980s) (6191),1980,1989
2637,RedBox Moscow Infantry (Ratniki) Set 1 (72111),1501,1599
2638,RedBox Moscow Infantry (Ratniki) Set 2 (72112),1501,1599
2639,RedBox Moscow Infantry (Pishalniki) (72113),1501,1599
2640,RedBox Ukrainian Cossack (Infantry) Set 1 (72114),1501,1599
2641,RedBox Ukrainian Cossack (Infantry) Set 2 (72115),1501,1599
2642,RedBox Ukrainian Cossack (Infantry) Set 3 (72116),1501,1599
2643,Mars German Elite Division (Normandy 1944-45) (72106),1944,1945
2644,Mars Imperial Japanese Infantry WWII (72107),1938,1945
2645,Strelets Prussian Line Infantry on the March (174),1810,1816
2646,RedBox Russian Guard Infantry (72129),1804,1807
2647,Caesar Mid-East Militia (Iraq & Syria) (H101),1980,2018
2648,Caesar Modern Western Tank Crews Set 1 (Germany & Israel) (H102),2010,2018
2649,Caesar Modern US Army Tank Crews and Armored Force (H103),1998,2009
2650,Caesar WWII German Tank Riders (Camouflage Suit) (H099),1942,1945
2651,Strelets Austrian Cuirassiers (257),1680,1710
2652,Mars German Panzergrenadiers (72108),1942,1945
2653,Strelets Japanese Type 38 75mm Field Gun (176),1927,1945
2654,RedBox Chinese Light Cavalry (72117),1501,1699
2655,RedBox Chinese Medium Cavalry (72118),1501,1699
2656,RedBox Chinese Heavy Cavalry (72119),1501,1699
2657,RedBox Korean Light Cavalry (72120),1501,1699
2658,RedBox Korean Heavy Cavalry Set 1 (72121),1501,1699
2659,RedBox Korean Heavy Cavalry Set 2 (72122),1501,1699
2660,RedBox Korean Guerrilla Cavalry (72123),1501,1699
2661,RedBox Burgundian Crossbowmen (72124),1401,1499
2662,First To Fight Polish Artillery (PL1939-055),1939,1939
2663,First To Fight German Artillery (PL1939-056),1939,1941
2664,Linear-A Germanic Warriors Set 2 (Command) (010),1,50
2665,Linear-A Battle of Cunaxa Set 1 (015),-401,-401
2666,Linear-A The Etruscans Set 1 (014),-899,-650
2667,Strelets Union Infantry Firing (159),1861,1865
2668,Strelets Pickett's Charge 3 (178),1861,1865
2669,Strelets US Infantry in Attack 3 (179),1861,1865
2670,Strelets French Line Infantry Standing at Attention (184),1812,1815
2671,HaT Napoleonic French in Greatcoats (8234),1806,1815
2672,Mars Imperial Japanese Paratroopers (72109),1941,1945
2673,Mars Luftwaffe Field Division (72110),1942,1945
2674,Mars German Elite Infantry (Winter Dress) (72111),1943,1945
2675,First To Fight Polish Motorised Artillery Crew (PL1939-057),1939,1939
2676,Strelets British 15 pdr 7 cwt BL Gun (177),1892,1908
2677,Strelets Prussian Infantry Standing Shoulder Arms (180),1808,1815
2678,Strelets Old Guard on the March (181),1800,1815
2679,Strelets 30 pdr Parrott Rifle with US Crew (182),1861,1865
2680,Strelets 12 pdr Whitworth Rifle with Confederate Crew (183),1861,1865
2681,Strelets Cannone da 105/28 Schneider Ansaldo (A016),1937,1951
2682,Strelets British Infantry Standing Shoulder Arms (202),1812,1815
2683,HaT Napoleonic Austrian Infantry Marching (8326),1799,1809
2684,HaT Napoleonic Austrian Infantry Action (8327),1799,1809
2685,HaT Napoleonic Austrian Infantry Command (8328),1800,1815
2686,HaT American Civil War Marching (1) (8319),1861,1865
2687,HaT American Civil War Command (8320),1861,1865
2688,Strelets French Line Infantry on the March 2 (220),1806,1815
2689,First To Fight Polish Uhlan Command Dismounted (PL1939-067),1939,1939
2690,RedBox Guards of Cardinal Richelieu (72147),1626,1642
2691,HaT American Civil War Marching (2) (8332),1861,1865
2692,Strelets British Infantry Skirmishing (M133),1899,1902
2693,Strelets French Line Infantry at Ease (225),1806,1815
2694,Strelets Japanese Type 98 20mm AA/AT Gun (226),1937,1945
2695,Strelets 155 mm Cannon GPF Mod 1917 (A018),1917,1918
2696,HaT Napoleonic Spanish Infantry Sampler (8330),1800,1813
2697,Strelets Highlanders Standing Order Arms (200),1813,1815
2698,Strelets British Infantry Standing Order Arms (201),1812,1816
2699,Strelets Austrian Grenadiers in Winter Dress on the March (209),1805,1815
2700,Strelets Prussian Line Infantry Standing Order Arms (211),1810,1815
2701,Strelets Russian Infantry on the March 1 (212),1812,1815
2703,Strelets Russian Infantry Standing Order Arms (217),1812,1815
2704,Strelets Russian Infantry in Overcoats Standing Order Arms (219),1812,1815
2705,Linear-A Margiana (044),-2024,-1700
2706,Strelets Boer Field Artillery (224),1895,1902
2707,Strelets Brunswick Light Guards Battalion (154),1810,1815
2708,Strelets Boer Infantry (M138),1899,1902
2709,Strelets British Infantry in Attack 1701-1714 (231),1701,1714
2710,HaT El Cid Moorish Cavalry Sampler (8339),1000,1100
2711,First To Fight Polish Uhlans on Horses 1939 (PL1939-071),1939,1939
2712,Linear-A Samnite Wars Set 1 (026),-343,-298
2713,Linear-A The Army of Pyrrhus of Epirus (Set 1) (028),-297,-272
2714,Linear-A Roman Anti-Elephant Wagon (029),-279,-276
2715,Linear-A Tarentine Horsemen of Magna Graecia (030),-299,-201
2716,Linear-A The Army of Athens (031),-415,-413
2717,Strelets British Infantry in Advance 1701-1714 (230),1701,1714
2718,Ultima Ratio Gladiators Myrmillo Secutor Szissor (UR013),-100,300
2719,Strelets Anglo-Saxon Fyrd (M140),800,1100
2720,Strelets Housecarls of King Harold (M141),1050,1066
2721,Strelets Medieval City Levy (248),1100,1400
2722,Zvezda Soviet 120mm Mortar and Crew (6147),1939,1945
2723,Zvezda German 120mm Mortar with Crew (6268),1941,1945
2724,Zvezda Soviet Machine Gun Squad (6269),1943,1945
2725,Zvezda German Panzergrenadiers (6270),1943,1945
2726,Zvezda Soviet Assault Engineers (6271),1943,1945
